详细分析结果
生成时间: 2025-11-20 18:02:08.099515
================================================================================

方法: AF2_af2msa
目录: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/AF2_af2msa_output
总预测数: 73
平均时间: 58.0056 分钟
总时间: 4234.41 分钟 (70.57 小时)

单个预测详情:
  6L39_A: 41.7470 分钟
  6M4P_A: 37.5375 分钟
  6M4S_A: 41.5355 分钟
  6T1T_A: 54.1319 分钟
  6VBN_A: 31.6724 分钟
  6VBY_A: 72.3449 分钟
  6VXV_A: 42.2340 分钟
  6VZA_A: 40.8472 分钟
  6VZB_A: 41.0543 分钟
  6XA2_A: 41.1761 分钟
  6XA3_A: 43.8164 分钟
  7AO7_A: 38.1815 分钟
  7AYX_A: 42.6717 分钟
  7DI3_A: 40.1888 分钟
  7DVO_A: 37.6716 分钟
  7EGN_A: 51.0422 分钟
  7OQ6_A: 42.7529 分钟
  7OW9_A: 36.9534 分钟
  7P5T_A: 37.3590 分钟
  7QKE_A: 38.0652 分钟
  7R1I_A: 38.4094 分钟
  7SHI_A: 37.3455 分钟
  7SUX_A: 1109.5840 分钟
  7TEF_A: 47.1609 分钟
  7TLO_A: 37.5630 分钟
  7TTB_A: 35.1245 分钟
  7TTO_A: 35.6192 分钟
  7V40_A: 44.2510 分钟
  7WDD_A: 49.6184 分钟
  7WDE_A: 49.4357 分钟
  7WZL_A: 51.4155 分钟
  7X53_A: 37.6770 分钟
  7XBM_A: 42.5420 分钟
  7Y0P_A: 50.2600 分钟
  7Y0R_A: 51.2250 分钟
  7Y9J_A: 51.2247 分钟
  7YD9_A: 48.8282 分钟
  7YDA_A: 49.4216 分钟
  7YDB_A: 49.4143 分钟
  7YDC_A: 50.4638 分钟
  7YDD_A: 49.7496 分钟
  7YDE_A: 50.1832 分钟
  7YDL_A: 50.5049 分钟
  7YFT_A: 50.1514 分钟
  8A6W_B: 38.4625 分钟
  8CKN_A: 36.3722 分钟
  8EOH_A: 45.1459 分钟
  8F91_A: 37.3100 分钟
  8GK3_A: 49.3914 分钟
  8GTL_A: 37.5964 分钟
  8HG9_A: 37.4791 分钟
  8HNY_A: 40.6527 分钟
  8HO1_A: 40.6614 分钟
  8HOU_A: 49.3214 分钟
  8JNP_A: 39.7926 分钟
  8JRL_A: 42.6024 分钟
  8JUA_A: 40.6390 分钟
  8K1X_A: 40.1378 分钟
  8Q2F_A: 50.0860 分钟
  8Q5J_A: 38.0364 分钟
  8Q6X_A: 38.1653 分钟
  8Q6Z_A: 36.6504 分钟
  8QZE_A: 50.1589 分钟
  8QZF_A: 49.7146 分钟
  8SPC_A: 38.2351 分钟
  8SWL_A: 38.8613 分钟
  8TWU_A: 38.2699 分钟
  8W72_A: 42.6056 分钟
  8W7G_A: 42.4313 分钟
  8YHN_A: 41.8583 分钟
  9CJG_A: 37.7326 分钟
  9EF0_A: 54.5557 分钟
  9JQM_A: 41.3231 分钟

================================================================================

方法: AF3
目录: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/AF3_output
总预测数: 73
平均时间: 13.0324 分钟
总时间: 951.36 分钟 (15.86 小时)

单个预测详情:
  6L39_A: 13.1271 分钟
