详细分析结果
生成时间: 2025-11-20 16:04:32.743543
================================================================================

方法: zFold_uniref90_m2
目录: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/zFold_uniref90_output_m2
总预测数: 73
平均时间: 441.1263 分钟
总时间: 32202.22 分钟 (536.70 小时)

单个预测详情:
  6VBN_A: 796.6615 分钟
  6VBY_A: 134.0219 分钟
  6VXV_A: 694.7179 分钟
  6VZA_A: 703.5047 分钟
  6VZB_A: 712.3012 分钟
  6XA2_A: 555.0364 分钟
  6XA3_A: 432.0529 分钟
  7AO7_A: 494.8061 分钟
  7AYX_A: 572.2709 分钟
  7DI3_A: 755.4574 分钟
  7DVO_A: 669.2370 分钟
  7EGN_A: 305.0174 分钟
  7OQ6_A: 422.7173 分钟
  7OW9_A: 686.0120 分钟
  7P5T_A: 721.0574 分钟
  7QKE_A: 503.3594 分钟
  7R1I_A: 512.1383 分钟
  7SHI_A: 763.6723 分钟
  7SUX_A: 85.5425 分钟
  7TEF_A: 403.7593 分钟
  7TLO_A: 651.8832 分钟
  7TTB_A: 804.7167 分钟
  7TTO_A: 813.1447 分钟
  7V40_A: 441.3034 分钟
  7WDD_A: 317.6125 分钟
  7WDE_A: 330.2485 分钟
  7WZL_A: 145.4652 分钟
  7X53_A: 580.7101 分钟
  7XBM_A: 413.1447 分钟
  7Y0P_A: 342.1364 分钟
  7Y0R_A: 354.9123 分钟
  7Y9J_A: 367.5853 分钟
  7YD9_A: 192.8987 分钟
  7YDA_A: 206.4826 分钟
  7YDB_A: 217.3611 分钟
  7YDC_A: 229.8190 分钟
  7YDD_A: 242.0240 分钟
  7YDE_A: 254.8371 分钟
  7YDL_A: 267.1307 分钟
  7YFT_A: 279.8260 分钟
  8A6W_B: 520.6095 分钟
  8CKN_A: 788.8990 分钟
  8EOH_A: 156.0949 分钟
  8F91_A: 486.0908 分钟
  8GK3_A: 167.6310 分钟
  8GTL_A: 634.1315 分钟
  8HG9_A: 616.3618 分钟
  8HNY_A: 729.7555 分钟
  8HO1_A: 738.5373 分钟
  8HOU_A: 379.9238 分钟
  8JNP_A: 772.1225 分钟
  8JRL_A: 529.3122 分钟
  8JUA_A: 468.1129 分钟
  8K1X_A: 450.3491 分钟
  8Q2F_A: 180.2880 分钟
  8Q5J_A: 747.1471 分钟
  8Q6X_A: 625.2735 分钟
  8Q6Z_A: 780.2677 分钟
  8QZE_A: 292.3923 分钟
  8QZF_A: 391.8609 分钟
  8SPC_A: 546.4830 分钟
  8SWL_A: 563.4739 分钟
  8TWU_A: 643.0954 分钟
  8W72_A: 477.0758 分钟
  8W7G_A: 537.7299 分钟
  8YHN_A: 589.6138 分钟
  9CJG_A: 598.4980 分钟
  9EF0_A: 121.7153 分钟
  9JQM_A: 459.1741 分钟

================================================================================

方法: AF2_af2msa
目录: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/AF2_af2msa_output
总预测数: 73
平均时间: 58.0056 分钟
总时间: 4234.41 分钟 (70.57 小时)

单个预测详情:
  6L39_A: 41.7470 分钟
  6M4P_A: 37.5375 分钟
  6M4S_A: 41.5355 分钟
  6T1T_A: 54.1319 分钟
  6VBN_A: 31.6724 分钟
  6VBY_A: 72.3449 分钟
  6VXV_A: 42.2340 分钟
  6VZA_A: 40.8472 分钟
  6VZB_A: 41.0543 分钟
  6XA2_A: 41.1761 分钟
  6XA3_A: 43.8164 分钟
  7AO7_A: 38.1815 分钟
  7AYX_A: 42.6717 分钟
  7DI3_A: 40.1888 分钟
  7DVO_A: 37.6716 分钟
  7EGN_A: 51.0422 分钟
  7OQ6_A: 42.7529 分钟
  7OW9_A: 36.9534 分钟
  7P5T_A: 37.3590 分钟
  7QKE_A: 38.0652 分钟
  7R1I_A: 38.4094 分钟
  7SHI_A: 37.3455 分钟
  7SUX_A: 1109.5840 分钟
  7TEF_A: 47.1609 分钟
  7TLO_A: 37.5630 分钟
  7TTB_A: 35.1245 分钟
  7TTO_A: 35.6192 分钟
  7V40_A: 44.2510 分钟
  7WDD_A: 49.6184 分钟
  7WDE_A: 49.4357 分钟
  7WZL_A: 51.4155 分钟
  7X53_A: 37.6770 分钟
  7XBM_A: 42.5420 分钟
  7Y0P_A: 50.2600 分钟
  7Y0R_A: 51.2250 分钟
  7Y9J_A: 51.2247 分钟
  7YD9_A: 48.8282 分钟
  7YDA_A: 49.4216 分钟
  7YDB_A: 49.4143 分钟
  7YDC_A: 50.4638 分钟
  7YDD_A: 49.7496 分钟
  7YDE_A: 50.1832 分钟
  7YDL_A: 50.5049 分钟
  7YFT_A: 50.1514 分钟
  8A6W_B: 38.4625 分钟
  8CKN_A: 36.3722 分钟
  8EOH_A: 45.1459 分钟
  8F91_A: 37.3100 分钟
  8GK3_A: 49.3914 分钟
  8GTL_A: 37.5964 分钟
  8HG9_A: 37.4791 分钟
  8HNY_A: 40.6527 分钟
  8HO1_A: 40.6614 分钟
  8HOU_A: 49.3214 分钟
  8JNP_A: 39.7926 分钟
  8JRL_A: 42.6024 分钟
  8JUA_A: 40.6390 分钟
  8K1X_A: 40.1378 分钟
  8Q2F_A: 50.0860 分钟
  8Q5J_A: 38.0364 分钟
  8Q6X_A: 38.1653 分钟
  8Q6Z_A: 36.6504 分钟
  8QZE_A: 50.1589 分钟
  8QZF_A: 49.7146 分钟
  8SPC_A: 38.2351 分钟
  8SWL_A: 38.8613 分钟
  8TWU_A: 38.2699 分钟
  8W72_A: 42.6056 分钟
  8W7G_A: 42.4313 分钟
  8YHN_A: 41.8583 分钟
  9CJG_A: 37.7326 分钟
  9EF0_A: 54.5557 分钟
  9JQM_A: 41.3231 分钟

================================================================================

方法: AF3
目录: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/AF3_output
总预测数: 73
平均时间: 13.0324 分钟
总时间: 951.36 分钟 (15.86 小时)

单个预测详情:
  6L39_A: 13.1271 分钟
  6M4P_A: 11.7532 分钟
  6M4S_A: 12.9280 分钟
  6T1T_A: 15.3284 分钟
  6VBN_A: 11.8203 分钟
  6VBY_A: 12.0813 分钟
  6VXV_A: 13.1289 分钟
  6VZA_A: 12.0253 分钟
  6VZB_A: 11.6510 分钟
  6XA2_A: 12.4470 分钟
  6XA3_A: 12.1975 分钟
  7AO7_A: 13.2816 分钟
  7AYX_A: 11.7856 分钟
  7DI3_A: 13.2702 分钟
  7DVO_A: 12.1918 分钟
  7EGN_A: 12.0757 分钟
  7OQ6_A: 12.0932 分钟
  7OW9_A: 12.7195 分钟
  7P5T_A: 12.9021 分钟
  7QKE_A: 12.2060 分钟
  7R1I_A: 12.5735 分钟
  7SHI_A: 13.3839 分钟
  7SUX_A: 42.1635 分钟
  7TEF_A: 12.2835 分钟
  7TLO_A: 11.5228 分钟
  7TTB_A: 11.7807 分钟
  7TTO_A: 12.6208 分钟
  7V40_A: 11.6724 分钟
  7WDD_A: 12.3468 分钟
  7WDE_A: 12.3279 分钟
  7WZL_A: 12.7899 分钟
  7X53_A: 12.2032 分钟
  7XBM_A: 13.1901 分钟
  7Y0P_A: 12.9410 分钟
  7Y0R_A: 12.0101 分钟
  7Y9J_A: 12.1899 分钟
  7YD9_A: 14.5864 分钟
  7YDA_A: 14.3676 分钟
  7YDB_A: 14.0240 分钟
  7YDC_A: 13.6933 分钟
  7YDD_A: 13.2475 分钟
  7YDE_A: 14.6887 分钟
  7YDL_A: 12.7557 分钟
  7YFT_A: 12.0998 分钟
  8A6W_B: 13.1101 分钟
  8CKN_A: 11.6078 分钟
  8EOH_A: 12.8840 分钟
  8F91_A: 13.0191 分钟
  8GK3_A: 15.0306 分钟
  8GTL_A: 11.7796 分钟
  8HG9_A: 12.4011 分钟
  8HNY_A: 11.9216 分钟
  8HO1_A: 11.8558 分钟
  8HOU_A: 12.7219 分钟
  8JNP_A: 11.8817 分钟
  8JRL_A: 11.8190 分钟
  8JUA_A: 12.9204 分钟
  8K1X_A: 11.9026 分钟
  8Q2F_A: 13.9664 分钟
  8Q5J_A: 12.4098 分钟
  8Q6X_A: 12.1058 分钟
  8Q6Z_A: 11.4334 分钟
  8QZE_A: 12.8410 分钟
  8QZF_A: 12.1580 分钟
  8SPC_A: 11.8064 分钟
  8SWL_A: 13.5696 分钟
  8TWU_A: 11.8574 分钟
  8W72_A: 12.0089 分钟
  8W7G_A: 11.8619 分钟
  8YHN_A: 12.8502 分钟
  9CJG_A: 13.6689 分钟
  9EF0_A: 14.0760 分钟
  9JQM_A: 11.4169 分钟

================================================================================

方法: SimpleFold_100M
目录: /sugon_store/mahaohui/mahaohui/pocket_generation/ml-simplefold/artifacts_p450_cystal_mmseq0.9_default/simplefold100M_samples
总预测数: 51
平均时间: 0.0008 分钟
总时间: 0.04 分钟 (0.00 小时)

单个预测详情:
  6l39_a_sampled_0: 0.0005 分钟
  6t1t_a_sampled_0: 0.0009 分钟
  6vbn_a_sampled_0: 0.0005 分钟
  6vby_a_sampled_0: 0.0007 分钟
  6vxv_a_sampled_0: 0.0006 分钟
  6vza_a_sampled_0: 0.0005 分钟
  6vzb_a_sampled_0: 0.0096 分钟
  6xa2_a_sampled_0: 0.0006 分钟
  7ao7_a_sampled_0: 0.0007 分钟
  7dvo_a_sampled_0: 0.0006 分钟
  7egn_a_sampled_0: 0.0006 分钟
  7oq6_a_sampled_0: 0.0007 分钟
  7ow9_a_sampled_0: 0.0006 分钟
  7p5t_a_sampled_0: 0.0016 分钟
  7qke_a_sampled_0: 0.0006 分钟
  7r1i_a_sampled_0: 0.0007 分钟
  7shi_a_sampled_0: 0.0007 分钟
  7tlo_a_sampled_0: 0.0006 分钟
  7v40_a_sampled_0: 0.0006 分钟
  7wde_a_sampled_0: 0.0008 分钟
  7x53_a_sampled_0: 0.0006 分钟
  7y0p_a_sampled_0: 0.0007 分钟
  7y0r_a_sampled_0: 0.0007 分钟
  7yd9_a_sampled_0: 0.0006 分钟
  7yda_a_sampled_0: 0.0010 分钟
  7ydb_a_sampled_0: 0.0007 分钟
  7ydc_a_sampled_0: 0.0007 分钟
  7ydd_a_sampled_0: 0.0007 分钟
  7yde_a_sampled_0: 0.0007 分钟
  7ydl_a_sampled_0: 0.0007 分钟
  7yft_a_sampled_0: 0.0007 分钟
  8a6w_b_sampled_0: 0.0006 分钟
